timestamp,mean_motion,var_motion
1769590512937079300,0.068656989323265,0.0004868891538376767
1769590514934129200,0.0779961566779004,0.00043295229446048975
1769590516931486500,0.08888910740841334,0.0003429962666181366
1769590518929278000,0.11697681670807786,0.0023137023724449494
1769590520926906400,0.08957142751262573,0.0003082459788221394
1769590522924839200,0.12683425994880015,0.013418716486445149
1769590524922640400,0.091163710728757,0.00023031970240542586
1769590526920453400,0.0915522955150181,0.00039916818150694075
1769590528918226700,0.0920887729237053,0.00024224244278320644
1769590530955965200,0.09302389515699966,0.0003393492832257596
1769590532953274400,0.09225333976072485,0.00022519648674285478
1769590534950748200,0.09782586626286681,0.0003133241759735749
1769590536948033500,0.09395035883834256,0.00025508892313761707
1769590538945435100,0.09411038535881212,0.00023310057960142146
1769590540942795500,0.09462426895819596,0.0003188858855012317
1769590542940125700,0.09133881246929718,0.0003458747904542457
1769590544937325000,0.0937815244565588,0.000311683217621616
1769590546934907600,0.09457456326436166,0.0003920135175755013
1769590548932181200,0.10416260918484815,0.0012361432914903725
1769590550929279200,0.09371586934976277,0.0002960810488120519
1769590552926350800,0.09248135575509041,0.0004040390484437733
1769590554923569000,0.0950424458887728,0.00028196952913654943
1769590556920578300,0.09448662851698597,0.0003900507883750926
1769590558917815000,0.09292454271616143,0.00030805297242598084
1769590560914910000,0.09091347623540347,0.0005230480551123179
1769590562912064000,0.0992065481561653,0.0016664249793989767
