time,seconds_elapsed,z,y,x
1769533361300266800,0.347266845703125,0.33924293518066406,0.12029647827148438,0.050310373306274414
1769533361380100900,0.427100830078125,0.1660470962524414,-0.019338369369506836,-0.06603264808654785
1769533361459913700,0.506913818359375,-0.05179882049560547,-0.08262109756469727,-0.08255457878112793
1769533361539728400,0.586728271484375,0.21426677703857422,-0.0008065700531005859,-0.058406949043273926
1769533361619556400,0.666556396484375,0.42810535430908203,0.09018182754516602,0.3568824529647827
1769533361699383300,0.74638330078125,0.3434925079345703,0.13840413093566895,0.4335916042327881
1769533361779208200,0.826208251953125,0.11749935150146484,-0.6935067176818848,0.9948800802230835
1769533361859047200,0.906047119140625,-0.16983890533447266,-0.6573652029037476,0.6249650716781616
1769533361938872300,0.985872314453125,0.0036935806274414062,-0.056479454040527344,0.1625739336013794
1769533362018706000,1.065705810546875,0.07271766662597656,0.34153449535369873,-0.8586323857307434
1769533362098543400,1.14554345703125,1.5245161056518555,0.7677054405212402,-1.3089603185653687
1769533362178378800,1.225378662109375,-1.4627046585083008,0.4717087745666504,-0.635050892829895
1769533362258237400,1.305237548828125,-0.9667530059814453,-0.1316056251525879,-0.9190530776977539
1769533362338084600,1.385084716796875,0.5812349319458008,-0.05949699878692627,-0.8998432755470276
1769533362417927200,1.46492724609375,-0.1319293975830078,0.3663496971130371,-1.339833378791809
1769533362497763800,1.544763916015625,0.8818597793579102,0.49455928802490234,-1.4033753871917725
1769533362577605600,1.624605712890625,0.6113176345825195,0.513949990272522,-0.19070875644683838
1769533362657440000,1.70443994140625,0.1836376190185547,0.1361865997314453,-0.09611916542053223
1769533362737285000,1.78428515625,0.4765806198120117,-0.05810713768005371,-0.05469202995300293
1769533362817127700,1.864127685546875,-0.057071685791015625,-0.17697787284851074,0.2983185052871704
1769533362896963800,1.9439638671875,0.05694866180419922,-0.46029990911483765,0.39022278785705566
1769533362976792800,2.023792724609375,-0.5926046371459961,-0.49838125705718994,0.214371919631958
1769533363056630500,2.103630615234375,-0.2044076919555664,0.5594511032104492,-0.07319128513336182
1769533363136465400,2.18346533203125,-0.36800289154052734,-0.034122347831726074,-0.07160818576812744
1769533363216293400,2.26329345703125,0.403106689453125,0.11070609092712402,0.03248488903045654
1769533363296123100,2.343123046875,-0.23908329010009766,-0.016832470893859863,0.2116154432296753
1769533363375963600,2.422963623046875,0.36807918548583984,-0.057924509048461914,-0.06131553649902344
1769533363455762000,2.502761962890625,0.16208744049072266,-0.0636739730834961,0.30322110652923584
1769533363535593500,2.582593505859375,0.006007194519042969,-0.2154449224472046,0.046730995178222656
1769533363615441000,2.66244091796875,0.12915515899658203,-0.015839695930480957,0.10655295848846436
1769533363695308800,2.742308837890625,0.23157024383544922,-0.039121031761169434,-0.031487107276916504
1769533363775150000,2.822150146484375,-0.015700340270996094,0.03224062919616699,0.0003948211669921875
1769533363854998000,2.901998046875,-0.058457374572753906,0.04764199256896973,0.09626758098602295
1769533363934849500,2.981849609375,0.12398529052734375,0.0018680095672607422,0.020142316818237305
1769533364014698500,3.061698486328125,0.22683143615722656,-0.05701863765716553,-0.1917715072631836
1769533364094560000,3.14156005859375,0.20539283752441406,0.008389592170715332,0.1365429162979126
1769533364174419000,3.2214189453125,0.11408329010009766,-0.10880172252655029,0.11811685562133789
1769533364254284000,3.301283935546875,0.07366657257080078,0.04236769676208496,0.0670461654663086
1769533364334138000,3.38113818359375,0.01039886474609375,-0.060253262519836426,-0.09970688819885254
1769533364413994800,3.460994873046875,0.1929340362548828,-0.09169578552246094,0.28592896461486816
1769533364493849600,3.540849609375,0.276092529296875,-0.07876408100128174,0.2249298095703125
1769533364573713200,3.620713134765625,-0.6039390563964844,0.40467047691345215,0.03833603858947754
1769533364653570300,3.7005703125,-0.1383066177368164,0.10119032859802246,0.22964930534362793
1769533364733403000,3.78040283203125,1.2275171279907227,0.08846962451934814,0.057073354721069336
1769533364813214700,3.860214599609375,0.3864908218383789,0.032265424728393555,0.08237600326538086
1769533364893062700,3.940062744140625,0.06081962585449219,0.0405656099319458,-0.030778169631958008
1769533364972911600,4.01991162109375,0.10265731811523438,0.14397108554840088,-0.17248797416687012
1769533365052766000,4.099765869140625,-0.15685653686523438,0.0568314790725708,-0.5634031295776367
1769533365132610300,4.1796103515625,-0.028972625732421875,-0.14416611194610596,0.06866061687469482
1769533365212459800,4.259459716796875,0.4279823303222656,0.2338855266571045,0.16583043336868286
1769533365292306400,4.339306396484375,0.16597938537597656,-0.04723787307739258,0.22671008110046387
1769533365372134400,4.419134521484375,0.03831291198730469,0.08467698097229004,-0.053452372550964355
1769533365451972900,4.498972900390625,0.07381439208984375,-0.07580268383026123,0.03327631950378418
1769533365531804000,4.578803955078125,0.037441253662109375,-0.06498444080352783,0.06817471981048584
1769533365611643600,4.6586435546875,0.2787923812866211,0.007234334945678711,0.07558643817901611
1769533365691459600,4.73845947265625,0.1072988510131836,-0.03455626964569092,0.1486198902130127
1769533365771272200,4.818272216796875,-0.4919567108154297,0.21091532707214355,-0.1569133996963501
1769533365851042300,4.898042236328125,1.1662712097167969,-0.25189244747161865,-0.7043196558952332
1769533365930824700,4.97782470703125,-1.4855470657348633,-0.8395212888717651,1.930847406387329
1769533366010614300,5.0576142578125,-0.28876399993896484,0.16519582271575928,0.3349725008010864
1769533366090417000,5.1374169921875,-3.3913731575012207,-1.9863839149475098,1.7374908924102783
1769533366170200600,5.21720068359375,-2.933104991912842,-0.541289210319519,0.7334886789321899
1769533366249992200,5.2969921875,0.8673925399780273,-0.13711631298065186,-0.12933769822120667
1769533366329838600,5.376838623046875,1.3563308715820312,0.14268827438354492,0.314259797334671
1769533366409621500,5.45662158203125,1.8863487243652344,0.0947650671005249,0.735398530960083
1769533366489457000,5.536456787109375,-1.0240964889526367,-0.6210830211639404,1.1863069534301758
1769533366569234000,5.61623388671875,-1.6182265281677246,-4.110033988952637,-0.13648271560668945
1769533366649007000,5.696007080078125,1.8031425476074219,4.399083137512207,-3.651296377182007
1769533366728772600,5.775772705078125,17.579784393310547,-0.6047618985176086,7.409426689147949
1769533366808528400,5.8555283203125,-6.515850067138672,-3.019761800765991,0.7481292486190796
1769533366888286500,5.935286376953125,-15.830047607421875,-6.327354907989502,-10.086551666259766
1769533366968052000,6.015052001953125,10.471752166748047,4.7708539962768555,0.444236159324646
1769533367047798300,6.09479833984375,-7.368946075439453,-1.725992202758789,2.8628275394439697
1769533367127559400,6.174559326171875,-17.900667190551758,-6.472447872161865,-4.8701171875
1769533367207334000,6.254333984375,15.422247886657715,3.0802338123321533,-0.3520388603210449
1769533367287094500,6.334094482421875,-8.481300354003906,-3.264155864715576,1.7467331886291504
1769533367366844200,6.41384423828125,-17.626422882080078,-5.54913330078125,-6.325226783752441
1769533367446629400,6.49362939453125,8.971638679504395,2.071847438812256,-1.1271803379058838
1769533367526404000,6.573404052734375,-18.979076385498047,-5.139848709106445,-6.312870025634766
1769533367606187800,6.653187744140625,31.58475112915039,-4.446331024169922,7.087118148803711
1769533367685958000,6.7329580078125,-1.7091116905212402,5.7986650466918945,7.119647026062012
1769533367765731600,6.812731689453125,-16.120336532592773,-5.78400993347168,-3.1291186809539795
1769533367845521200,6.892521240234375,-12.61868953704834,-12.242059707641602,-6.421316623687744
1769533367925347300,6.972347412109375,9.935884475708008,6.493912220001221,5.037986755371094
1769533368005121500,7.05212158203125,-12.633750915527344,-5.967050552368164,-1.1997228860855103
1769533368084894500,7.13189453125,-18.544937133789062,-12.269161224365234,-2.4209046363830566
1769533368164714000,7.2117138671875,13.37077808380127,5.48209810256958,4.547717571258545
1769533368244500700,7.291500732421875,-17.222217559814453,-6.905786514282227,-4.233226299285889
1769533368324265000,7.371264892578125,-21.856616973876953,-7.483006477355957,-1.6303558349609375
1769533368404039700,7.451039794921875,4.5919647216796875,2.844883441925049,3.589773178100586
1769533368483806700,7.530806640625,-12.298497200012207,-5.525900840759277,1.287097454071045
1769533368563676000,7.610676025390625,-19.060832977294922,-10.094261169433594,-4.118119716644287
1769533368643453700,7.69045361328125,12.75375747680664,1.2082891464233398,2.17047119140625
1769533368723231200,7.770231201171875,-12.693695068359375,-5.349837303161621,0.5402841567993164
1769533368803010300,7.85001025390625,-19.70870590209961,-9.12704849243164,-2.8837943077087402
1769533368882894800,7.929894775390625,15.493570327758789,1.031031847000122,0.8260953426361084
1769533368962702600,8.00970263671875,-13.228433609008789,-4.111541748046875,3.2658088207244873
1769533369042521900,8.08952197265625,-21.87151336669922,-8.711244583129883,-5.824896812438965
