424002510646602,1.0678173303604126,1.3602544069290161,2.6667773723602295,1,17:56:42
424002530856289,1.497827410697937,2.3892600536346436,4.657027721405029,1,17:56:42
424002551042122,1.661532998085022,3.0441226959228516,6.055725574493408,1,17:56:42
424002571251810,1.8928394317626953,3.52142071723938,6.911535739898682,1,17:56:42
424002591476393,2.1284899711608887,3.8060827255249023,7.489262104034424,1,17:56:42
424002611686133,2.208136558532715,3.899240016937256,7.89756965637207,1,17:56:42
424002631878893,2.275607109069824,3.975717544555664,8.18893814086914,1,17:56:42
424002652088581,2.362907648086548,4.073015213012695,8.47101879119873,1,17:56:42
424002672318112,2.39715313911438,4.188185214996338,8.578424453735352,1,17:56:42
424002692527852,2.368081569671631,4.22903299331665,8.499112129211426,1,17:56:42
424002712740091,2.394214391708374,4.219534397125244,8.430268287658691,1,17:56:42
424002732949779,2.4882917404174805,4.170881748199463,8.402737617492676,1,17:56:42
424002753162852,2.538234233856201,4.104909896850586,8.365220069885254,1,17:56:42
424002773372539,2.5787153244018555,3.9499385356903076,8.34420108795166,1,17:56:42
424002793562279,2.6823582649230957,3.570345640182495,8.29345703125,1,17:56:42
424002813771966,2.932711362838745,3.2015020847320557,8.208524703979492,1,17:56:42
424002834006185,3.2074098587036133,2.871764659881592,8.318787574768066,1,17:56:42
424002854215872,3.2571940422058105,2.4411377906799316,8.535226821899414,1,17:56:42
424002874405352,3.0532312393188477,1.6597859859466553,8.605259895324707,1,17:56:42
424002894615039,2.9995007514953613,0.8482334613800049,8.616016387939453,1,17:56:42
424002914825352,2.9317405223846436,1.1016987562179565,8.655924797058105,1,17:56:42
424002935035039,2.4537839889526367,2.3390588760375977,8.730441093444824,1,17:56:42
424002955283268,1.7870033979415894,3.422677516937256,8.91506290435791,1,17:56:42
424002975492956,1.4223322868347168,3.9382803440093994,9.169896125793457,1,17:56:42
424002995703633,1.6854627132415771,4.496011257171631,9.639219284057617,1,17:56:42
424003015913268,2.1754891872406006,4.101279258728027,11.156229019165039,1,17:56:42
424003036115091,2.9860599040985107,3.5850021839141846,12.308103561401367,1,17:56:42
424003056324779,3.452979326248169,3.7263009548187256,12.603311538696289,1,17:56:42
424003076519258,2.4179999828338623,3.898752450942993,12.239575386047363,1,17:56:42
424003096728945,0.9135509729385376,3.6927261352539062,11.224143028259277,1,17:56:42
424003116957487,-0.007968652062118053,3.147345542907715,10.061705589294434,1,17:56:42
424003137167175,-0.13922694325447083,2.544210433959961,9.464012145996094,1,17:56:42
424003157357800,0.31304866075515747,2.5892763137817383,8.983304977416992,1,17:56:42
424003177567539,0.6864300966262817,3.3219940662384033,8.361003875732422,1,17:56:42
424003197780195,0.8978219032287598,3.7673537731170654,8.328614234924316,1,17:56:42
424003217989883,1.0627045631408691,3.8582491874694824,8.968971252441406,1,17:56:42
424003238210612,1.1582534313201904,4.282958984375,9.07408332824707,1,17:56:42
424003258420247,1.148491382598877,4.832795143127441,8.955714225769043,1,17:56:42
424003278621706,1.4390226602554321,5.691224575042725,9.143497467041016,1,17:56:42
424003298831445,2.042336940765381,6.606862545013428,8.39992618560791,1,17:56:42
